sample_id,country,sample_set,taxon
VBS10116-4954STDY7089644,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10117-4954STDY7089645,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10118-4954STDY7089646,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10119-4954STDY7089647,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10120-4954STDY7089648,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10121-4954STDY7089649,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10122-4954STDY7089650,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10124-4954STDY7089652,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10126-4954STDY7089654,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10127-4954STDY7089655,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,arabiensis
VBS10128-4954STDY7089656,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10129-4954STDY7089657,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10130-4954STDY7089658,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10131-4954STDY7089659,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10133-4954STDY7089661,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10135-4954STDY7089663,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10136-4954STDY7089664,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10137-4954STDY7089665,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10138-4954STDY7089666,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10140-4954STDY7089668,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10141-4954STDY7089669,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,arabiensis
VBS10142-4954STDY7089670,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10143-4954STDY7089671,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10144-4954STDY7089672,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10145-4954STDY7089673,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10148-4954STDY7089676,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10149-4954STDY7089677,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10155-4954STDY7089683,Kenya,1178-VO-UG-LAWNICZAK-VMF00025,arabiensis
VBS10158-4954STDY7089686,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10160-4954STDY7089688,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10161-4954STDY7089689,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10163-4954STDY7089691,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10168-4954STDY7089696,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10171-4954STDY7089699,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10179-4954STDY7089707,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10180-4954STDY7089708,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10182-4954STDY7089710,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10183-4954STDY7089711,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10184-4954STDY7089712,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10185-4954STDY7089713,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10186-4954STDY7089714,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10187-4954STDY7089715,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10188-4954STDY7089716,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10189-4954STDY7089717,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,arabiensis
VBS10190-4954STDY7089718,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10191-4954STDY7089719,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10192-4954STDY7089720,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10194-4954STDY7089722,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10196-4954STDY7089724,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10197-4954STDY7089725,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10198-4954STDY7089726,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10200-4954STDY7089728,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10201-4954STDY7089729,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10203-4954STDY7089731,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10204-4954STDY7089732,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10205-4954STDY7089733,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS10206-4954STDY7089734,Uganda,1178-VO-UG-LAWNICZAK-VMF00025,gambiae
VBS18949-5562STDY7801785,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18950-5562STDY7801786,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18951-5562STDY7801787,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18952-5562STDY7801788,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18953-5562STDY7801789,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18954-5562STDY7801790,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18955-5562STDY7801791,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18956-5562STDY7801792,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18957-5562STDY7801793,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18958-5562STDY7801794,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18959-5562STDY7801795,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18960-5562STDY7801796,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18961-5562STDY7801797,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18962-5562STDY7801798,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18963-5562STDY7801799,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18964-5562STDY7801800,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18965-5562STDY7801801,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18966-5562STDY7801802,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18968-5562STDY7801804,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18969-5562STDY7801805,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18970-5562STDY7801806,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18971-5562STDY7801807,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18972-5562STDY7801808,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18973-5562STDY7801809,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18974-5562STDY7801810,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18975-5562STDY7801811,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18976-5562STDY7801812,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18977-5562STDY7801813,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18978-5562STDY7801814,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18980-5562STDY7801815,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18981-5562STDY7801816,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18982-5562STDY7801817,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18983-5562STDY7801818,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18984-5562STDY7801819,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18985-5562STDY7801820,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18987-5562STDY7801821,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18989-5562STDY7801822,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18990-5562STDY7801823,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18991-5562STDY7801824,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18992-5562STDY7801825,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18993-5562STDY7801826,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18994-5562STDY7801827,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18995-5562STDY7801828,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18996-5562STDY7801829,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18998-5562STDY7801830,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS18999-5562STDY7801831,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS19000-5562STDY7801832,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS19002-5562STDY7801833,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS19003-5562STDY7801834,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS19004-5562STDY7801835,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
VBS19005-5562STDY7801836,Benin,1237-VO-BJ-DJOGBENOU-VMF00050,coluzzii
